Add to cart,Variable,Variable Label,CG2013,DR2013,CG2010,DR2010,RG2010,CG2008,DR2008,RG2008,CG2006,DR2006,RG2006,CG2003,DR2003,RG2003,CG1999,DR1999,RG1999,CG1997,DR1997,RG1997,CG1995,DR1995,RG1995,CG1993,DR1993,Variable,RG1993
,ADQTEACH,Career preparation: teaching skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQTEACH,
,ADQTEAM,Career preparation: collaboration/team work skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQTEAM,
,ADQWRITE,Career preparation: writing skills,,,,,,,,,,,,,,,,X,,,X,,,,,,,ADQWRITE,
,DGPDGY,Year of highest degree since doctorate ,,,,,,,,,,,,,,,,,,,,,,,,,X,DGPDGY,
,DGPED,Field of major for highest degree since doctorate ,,,,,,,,,,,,,,,,,,,,,,,,,X,DGPED,
,DGPEMG,Field of major for highest degree since doctorate (major group),,,,,,,,,,,,,,,,,,,,,,,,,X,DGPEMG,
,DGPEMPD,Highest degree since doctorate: course costs paid for by employer,,,,,,,,,,,,,,,,,,,,,,,,,X,DGPEMPD,
