Add to cart,Variable,Variable Label,CG2013,DR2013,CG2010,DR2010,RG2010,CG2008,DR2008,RG2008,CG2006,DR2006,RG2006,CG2003,DR2003,RG2003,CG1999,DR1999,RG1999,CG1997,DR1997,RG1997,CG1995,DR1995,RG1995,CG1993,DR1993,Variable,RG1993
,CH1217IN,Children indicator: aged 12-17,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,CH1217IN,X
,CH1218IN,Children indicator: aged 12-18,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,CH1218IN,
,CH18,Number of children: aged 18 or older,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,CH18,X
,CH18IN,Children indicator: aged 18 or older,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,CH18IN,X
,CH19IN,Children indicator: age 19 or older,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,CH19IN,
