Add to cart,Variable,Variable Label,CG2013,DR2013,CG2010,DR2010,RG2010,CG2008,DR2008,RG2008,CG2006,DR2006,RG2006,CG2003,DR2003,RG2003,CG1999,DR1999,RG1999,CG1997,DR1997,RG1997,CG1995,DR1995,RG1995,CG1993,DR1993,Variable,RG1993
,PERSONID,Individual identification number[preselected],X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,PERSONID,X
,REFID,Reference ID number (original),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,REFID,X
,YEAR,Survey year[preselected],X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,YEAR,X
,WEIGHT,SESTAT weight[preselected],X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,WEIGHT,X
,SAMPLE,Sample identifier[preselected],X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,SAMPLE,X
,SURID,Survey identifier[preselected],X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,SURID,X
,COHORT,Survey cohort,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,COHORT,X
,SRVMODE,Survey mode,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,SRVMODE,
,SEQNUM,Sequence number,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,SEQNUM,X
