Formats
XML
ZIP
HTML
PDF
CSV
JSON
TEXT
Esri REST
TIFF
RDF
SID
BIN
WMS
EXCEL
KML
ArcGIS GeoServices REST API
XYZ
GeoJSON
JPEG
EXE
application/vnd.lotus-organizer
WFS
gml
QGIS
WCS
API
OGC WMS
PNG
application/vnd.geo+json
DOC
text/vnd.ascii-art
NETCDF
application/geopackage+sqlite3
application/html
GDB
sos
GPKG
CDF
SHP
application/vnd.lotus-1-2-3
Undefined
nc 
TAR
chemical/x-mdl-sdfile
GZ
00
xsl
ACCESS
cdfnc
