Tags
earth science
county or equivalent entity
oceans
ocean
noaa
u.s. department of commerce
nesdis
state fips code
county fips code
doc/noaa/nesdis/ncei
national centers for environmental information
latitude
longitude
continent
time
united states of america
state gnis code
county gnis code
north america
water
hydrography
bathymetry
depth
bathymetry/seafloor topography
permanent edge id
data
seafloor topography
in situ ocean-based platforms
sea
ocean temperature
currents
water temperature
water depth
seawater
ships
table
identifier
velocity
acoustic
doc/noaa/nesdis/ngdc
national geophysical data center
temperature
oceanography
5-digit zip code
from house number
side indicator flag
to house number
zip +4 code
